customer_id,nome,email,numero_conta,data_nascimento,cidade,country,gender,age,credit_score,tenure,balance,limite_credito,products_number,credit_card,active_member,estimated_salary,churn
15631460.0,Camila Martins Lima,camila.martins@hotmail.com,83406-0,04/10/1982,Barcelona,Spain,Female,42,671,3,0.0,0.0,2,1,1,128449.33,0
15700300.0,Patrícia Rocha Alves,patricia.rocha@uol.com.br,83680-0,18/12/1980,Berlin,Germany,Female,44,674,4,131593.85,202324.81,1,0,1,171345.02,1
,ANDRÉ COSTA ARAÚJO,andre.costa@gmail.com,73884-8,1985-08-26,Berlin,Germany,Male,39,789,7,124828.46,356669.15,2,1,1,124411.08,0
15760456.0,Silvana Costa Ferreira,silvana.costa@outlook.com,43299-9,1986-04-04,Paris,France,Female,38,731,10,123711.73,262028.34,2,1,0,171340.68,1
15638730.0,Natália Santos Martins,natalia.santos@yahoo.com.br,56717-2,2003-04-11,Paris,France,Female,-1,711,0,82844.33,207795.24,2,0,1,1408.68,0
15772482.0,André Costa Araújo,andre.costa@gmail.com,19234-4,1996-03-07,Munich,Germany,Male,28,829,3,132405.52,366908.12,3,1,0,104889.2,1
15782236.0,Carlos Eduardo Silva,carlos.eduardo@uol.com.br,52424-4,20/08/1990,Madrid,Spain,Male,34,735,5,0.0,0.0,2,0,0,71095.41,0
15658987.0,Larissa Pereira Gomes,larissa.pereira@yahoo.com.br,58682-8,02/10/1978,Nantes,France,Female,46,557,4,96173.17,90759.06,2,1,1,116378.31,0
15689061.0,Marcos Pereira Rocha,marcos.pereira@terra.com.br,68547-4,23/06/1956,Marseille,France,Male,68,611,5,82547.11,229393.65,2,1,1,146448.01,0
15715622.0,Mariana Costa Santos,mariana.costa,80619-0,1967-01-06,Nice,France,Female,57,583,3,238387.56,388151.04,1,0,1,147964.99,1
15566494.0,Rafael Oliveira Costa,rafael.oliveira@yahoo.com.br,78256-0,07/11/1979,Lyon,France,Male,-1,487,2,0.0,0.0,2,1,0,77475.73,0
15636982.0,Camila Martins Lima,camila.martins@yahoo.com.br,50071-2,21/11/1981,Cologne,Germany,Female,43,705,7,79974.55,231953.31,1,1,1,103108.33,0
15635964.0,Paulo Roberto Mendes,,71714-6,1959-11-24,Frankfurt,Germany,Male,65,566,4,120100.41,255269.57,1,1,0,107563.16,1
15766417.0,Mônica Dias Borges,monica.dias@terra.com.br,12435-8,02/05/1964,Nice,France,Female,60,678,2,0.0,0.0,2,1,1,43821.56,0
15592116.0,Renata Souza Ribeiro,renata.souza@uol.com.br,06882-0,1985-08-28,Paris,France,Female,39,585,7,0.0,0.0,2,1,0,2401.26,0
15589725.0,Aline Carvalho Araújo,aline.carvalho@gmail.com,94666-3,1973-05-20,bordeaux,France,Female,51,740,4,0.0,0.0,2,1,1,178929.84,0
15810167.0,Bruno Souza Martins,bruno.souza@outlook.com,26731-9,1949-02-23,Sevilla,Spain,Male,75,657,7,126273.95,374582.04,1,0,1,91673.6,0
15621466.0,Mateus Carvalho Alves,mateus.carvalho@uol.com.br,71355-9,23/07/1986,Hamburg,Germany,Male,38,606,3,99897.53,195156.04,1,0,0,37054.65,0
15780746.0,Lucas Ferreira Lima,lucas.ferreira@terra.com.br,46832-6,1963-05-05,Toulouse,France,Male,61,705,4,0.0,0.0,2,1,1,191313.7,0
15766288.0,Mariana Costa Santos,mariana.costa@hotmail.com,71650-6,1988-01-01,Frankfurt,Germany,Female,36,586,5,103700.69,172321.89,1,1,0,194072.56,1
